Time resolution is 1 ps
Time =               108000, clk = 0, sw = 1, data = 0001
Time =               109000, clk = 1, sw = 1, data = 0001
Time =               109000, clk = 0, sw = 1, data = 0001
Time =               110000, clk = 1, sw = 1, data = 0001
Time =               110000, clk = 0, sw = 1, data = 0001
Time =               111000, clk = 1, sw = 1, data = 0001
Time =               112000, clk = 0, sw = 1, data = 0001
Time =               112000, clk = 1, sw = 1, data = 0001
Time =               113000, clk = 0, sw = 1, data = 0001
Time =               113000, clk = 1, sw = 1, data = 0001
Time =               114000, clk = 0, sw = 1, data = 0001
Time =               114000, clk = 1, sw = 1, data = 0001
Time =               115000, clk = 0, sw = 1, data = 0001
Time =               116000, clk = 1, sw = 1, data = 1000
Time =               116000, clk = 0, sw = 1, data = 1000
Time =               117000, clk = 1, sw = 1, data = 1000
Time =               117000, clk = 0, sw = 1, data = 1000
Time =               118000, clk = 1, sw = 1, data = 1000
Time =               119000, clk = 0, sw = 1, data = 1000
Time =               119000, clk = 1, sw = 1, data = 1000
Time =               120000, clk = 0, sw = 1, data = 1000
Time =               120000, clk = 1, sw = 1, data = 1000
Time =               121000, clk = 0, sw = 1, data = 1000
Time =               122000, clk = 1, sw = 1, data = 1000
Time =               122000, clk = 0, sw = 1, data = 1000
Time =               123000, clk = 1, sw = 1, data = 1000
Time =               123000, clk = 0, sw = 1, data = 1000
Time =               124000, clk = 1, sw = 1, data = 1000
Time =               124000, clk = 0, sw = 1, data = 1000
Time =               125000, clk = 1, sw = 1, data = 1000
Time =               126000, clk = 0, sw = 1, data = 1000
Time =               126000, clk = 1, sw = 1, data = 1000
Time =               127000, clk = 0, sw = 1, data = 1000
Time =               127000, clk = 1, sw = 1, data = 1000
Time =               128000, clk = 0, sw = 1, data = 1000
Time =               129000, clk = 1, sw = 1, data = 1000
Time =               129000, clk = 0, sw = 1, data = 1000
Time =               130000, clk = 1, sw = 1, data = 1000
Time =               130000, clk = 0, sw = 1, data = 1000
Time =               131000, clk = 1, sw = 1, data = 1000
Time =               131000, clk = 0, sw = 1, data = 1000
Time =               132000, clk = 1, sw = 1, data = 1000
Time =               133000, clk = 0, sw = 1, data = 1000
Time =               133000, clk = 1, sw = 1, data = 1000
Time =               134000, clk = 0, sw = 1, data = 1000
Time =               134000, clk = 1, sw = 1, data = 1000
Time =               135000, clk = 0, sw = 1, data = 1000
Time =               136000, clk = 1, sw = 1, data = 1000
Time =               136000, clk = 0, sw = 1, data = 1000
Time =               137000, clk = 1, sw = 1, data = 1000
Time =               137000, clk = 0, sw = 1, data = 1000
Time =               138000, clk = 1, sw = 1, data = 1000
Time =               139000, clk = 0, sw = 1, data = 1000
Time =               139000, clk = 1, sw = 1, data = 1000
Time =               140000, clk = 0, sw = 1, data = 1000
Time =               140000, clk = 1, sw = 1, data = 1000
Time =               141000, clk = 0, sw = 1, data = 1000
Time =               141000, clk = 1, sw = 1, data = 0100
Time =               142000, clk = 0, sw = 1, data = 0100
Time =               143000, clk = 1, sw = 1, data = 0100
Time =               143000, clk = 0, sw = 1, data = 0100
Time =               144000, clk = 1, sw = 1, data = 0100
Time =               144000, clk = 0, sw = 1, data = 0100
Time =               145000, clk = 1, sw = 1, data = 0100
Time =               146000, clk = 0, sw = 1, data = 0100
Time =               146000, clk = 1, sw = 1, data = 0100
Time =               147000, clk = 0, sw = 1, data = 0100
Time =               147000, clk = 1, sw = 1, data = 0100
Time =               148000, clk = 0, sw = 1, data = 0100
Time =               149000, clk = 1, sw = 1, data = 0100
Time =               149000, clk = 0, sw = 1, data = 0100
Time =               150000, clk = 1, sw = 1, data = 0100
Time =               150000, clk = 0, sw = 1, data = 0100
Time =               151000, clk = 1, sw = 1, data = 0100
Time =               151000, clk = 0, sw = 1, data = 0100
Time =               152000, clk = 1, sw = 1, data = 0100
Time =               153000, clk = 0, sw = 1, data = 0100
Time =               153000, clk = 1, sw = 1, data = 0100
Time =               154000, clk = 0, sw = 1, data = 0100
Time =               154000, clk = 1, sw = 1, data = 0100
Time =               155000, clk = 0, sw = 1, data = 0100
Time =               156000, clk = 1, sw = 1, data = 0100
Time =               156000, clk = 0, sw = 1, data = 0100
Time =               157000, clk = 1, sw = 1, data = 0100
Time =               157000, clk = 0, sw = 1, data = 0100
Time =               158000, clk = 1, sw = 1, data = 0100
Time =               158000, clk = 0, sw = 1, data = 0100
Time =               159000, clk = 1, sw = 1, data = 0100
Time =               160000, clk = 0, sw = 1, data = 0100
Time =               160000, clk = 1, sw = 1, data = 0100
Time =               161000, clk = 0, sw = 1, data = 0100
